IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.217.232.246,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,7,11.69
8.217.207.60,80,80,FALSE,HKG,Asia Pacific,Hong Kong,23,11.42
8.210.207.214,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,34,11.34
8.210.146.108,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,12,11.33
8.217.149.28,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,8,10.87
8.218.53.110,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,25,10.82
8.210.34.188,80,80,FALSE,HKG,Asia Pacific,Hong Kong,34,10.8
8.218.136.25,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,58,10.62
47.238.6.102,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,11,10.46
8.218.53.110,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,21,10.41
47.242.79.71,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,17,10.2
8.217.91.121,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,13,10.2
8.218.3.198,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,17,10.1
47.238.35.50,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,28,10.05
8.218.207.169,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,26,10.04
47.242.202.230,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,32,10
47.242.234.127,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,22,9.88
8.210.175.109,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,26,9.8
47.242.202.230,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,8,9.78
47.242.7.162,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,9,9.7
8.217.91.121,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,10,9.66
8.210.101.157,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,9,9.65
47.76.192.24,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,51,9.59
8.217.145.40,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,11,9.51
47.238.6.102,80,80,FALSE,HKG,Asia Pacific,Hong Kong,34,9.5
8.217.149.28,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,9,9.26
47.242.232.14,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,6,9.03
8.218.146.204,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,14,8.85
47.242.171.94,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,10,8.83
8.217.207.60,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,19,8.76
47.76.159.146,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,9,8.73
47.242.234.127,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,40,8.68
47.242.171.94,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,28,8.64
8.210.3.24,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,19,8.57
8.217.193.25,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,13,8.57
8.218.122.55,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,12,8.55
8.210.245.224,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,33,8.54
8.210.34.188,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,21,8.48
47.76.33.40,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,12,8.45
47.76.225.255,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,25,8.37
47.242.252.237,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,86,8.34
8.218.53.110,80,80,FALSE,HKG,Asia Pacific,Hong Kong,44,8.31
47.242.79.71,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,34,8.19
47.242.42.153,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,50,8.18
47.238.5.0,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,10,8.13
8.217.232.246,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,10,8.11
8.217.91.121,80,80,FALSE,HKG,Asia Pacific,Hong Kong,26,8.06
8.210.146.108,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,7,7.92
8.210.175.109,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,9,7.86
47.238.0.114,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,69,7.81
8.218.8.142,80,80,FALSE,HKG,Asia Pacific,Hong Kong,8,7.77
47.242.176.237,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,65,7.74
8.217.232.246,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,34,7.74
47.242.252.237,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,34,7.74
8.218.22.210,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,7,7.7
47.76.98.98,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,20,7.66
8.217.121.207,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,9,7.62
8.210.101.157,80,80,FALSE,HKG,Asia Pacific,Hong Kong,26,7.61
47.76.225.255,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,65,7.6
47.76.233.67,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,12,7.6
47.242.252.237,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,28,7.59
47.242.79.71,80,80,FALSE,HKG,Asia Pacific,Hong Kong,12,7.57
47.242.234.127,80,80,FALSE,HKG,Asia Pacific,Hong Kong,5,7.5
8.210.156.6,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,59,7.49
8.218.122.55,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,42,7.46
8.210.146.108,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,52,7.45
8.218.211.17,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,23,7.29
8.210.174.156,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,35,7.25
47.76.159.146,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,27,7.18
47.76.203.101,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,6,7.06
60.246.180.236,32544,443,TRUE,HKG,Asia Pacific,Hong Kong,20,7.05
8.217.91.121,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,44,7.03
47.243.203.119,80,80,FALSE,HKG,Asia Pacific,Hong Kong,14,6.96
47.76.222.57,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,37,6.96
8.217.121.207,80,80,FALSE,HKG,Asia Pacific,Hong Kong,23,6.88
47.242.54.157,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,51,6.87
47.243.26.83,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,28,6.85
8.218.122.55,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,53,6.84
8.217.85.14,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,5,6.83
47.76.204.76,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,26,6.71
8.217.193.25,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,12,6.7
47.76.225.255,80,80,FALSE,HKG,Asia Pacific,Hong Kong,45,6.69
8.210.245.224,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,10,6.62
47.242.232.14,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,11,6.56
47.76.189.102,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,16,6.55
8.218.81.14,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,24,6.51
8.217.145.40,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,48,6.41
8.210.146.108,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,21,6.4
47.242.155.183,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,44,6.35
47.238.40.58,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,60,6.28
47.76.213.245,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,40,6.26
8.210.175.109,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,60,6.19
8.217.193.25,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,12,6.11
47.238.43.79,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,26,6.1
47.242.171.94,80,80,FALSE,HKG,Asia Pacific,Hong Kong,20,6.07
8.217.232.246,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,30,6.06
8.217.232.246,80,80,FALSE,HKG,Asia Pacific,Hong Kong,19,6
8.210.156.6,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,12,5.97
47.243.203.119,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,72,5.92
8.218.65.237,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,8,5.92
47.242.202.230,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,7,5.9
47.76.203.101,80,80,FALSE,HKG,Asia Pacific,Hong Kong,42,5.89
47.242.202.230,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,9,5.83
18.163.233.64,443,443,TRUE,HKG,Asia Pacific,Hong Kong,4,5.79
47.243.203.119,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,9,5.77
8.210.156.6,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,20,5.73
47.76.33.40,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,17,5.69
8.217.85.14,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,47,5.65
8.218.81.14,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,8,5.64
8.210.146.108,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,19,5.61
47.76.159.146,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,7,5.59
47.242.232.14,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,16,5.59
8.210.244.38,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,10,5.54
8.218.211.17,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,6,5.49
47.238.5.0,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,23,5.49
47.243.255.224,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,15,5.45
47.76.189.102,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,10,5.44
47.76.213.245,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,8,5.36
8.218.174.118,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,4,5.31
8.210.207.214,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,26,5.28
47.242.176.237,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,12,5.26
8.210.42.171,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,7,5.26
43.129.171.137,80,80,FALSE,HKG,Asia Pacific,Hong Kong,11,5.24
8.218.146.204,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,47,5.1
8.210.207.214,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,40,5.1
8.210.48.107,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,21,5.09
47.242.79.71,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,7,5.09
8.210.245.224,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,55,5.07
47.242.202.230,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,3,5.07
47.242.155.183,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,12,5
8.218.2.181,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,16,4.99
47.76.222.57,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,33,4.92
47.76.213.245,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,14,4.83
8.218.2.181,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,0,4.76
8.217.193.25,80,80,FALSE,HKG,Asia Pacific,Hong Kong,53,4.75
47.238.6.102,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,19,4.72
47.242.252.237,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,46,4.7
47.243.203.119,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,64,4.7
47.242.7.162,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,12,4.66
47.242.7.162,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,23,4.64
8.210.101.157,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,16,4.56
47.76.204.76,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,8,4.55
47.243.51.171,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,13,4.55
8.210.207.214,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,9,4.55
8.217.121.207,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,14,4.55
47.242.171.94,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,16,4.5
8.218.81.14,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,54,4.49
47.76.213.245,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,63,4.49
47.242.7.162,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,11,4.48
8.218.1.163,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,39,4.41
47.242.155.183,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,35,4.39
47.76.77.103,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,58,4.38
47.242.252.237,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,13,4.36
47.76.29.115,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,3,4.36
8.210.174.156,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,24,4.32
8.218.211.17,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,10,4.3
8.210.207.214,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,49,4.27
172.93.188.157,443,443,TRUE,HKG,Asia Pacific,Hong Kong,10,4.23
47.242.234.127,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,27,4.21
8.218.53.110,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,7,4.21
47.76.33.40,80,80,FALSE,HKG,Asia Pacific,Hong Kong,19,4.13
8.210.207.214,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,29,4.13
8.210.101.157,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,26,4.08
8.210.244.38,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,27,4.01
47.76.159.146,80,80,FALSE,HKG,Asia Pacific,Hong Kong,0,3.98
47.242.42.153,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,10,3.93
47.243.27.217,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,10,3.92
8.218.2.181,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,60,3.92
47.238.40.58,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,26,3.92
47.243.27.217,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,27,3.9
47.242.42.153,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,17,3.87
8.210.9.129,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,53,3.87
47.238.35.50,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,35,3.83
47.242.42.153,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,60,3.78
47.238.5.0,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,9,3.77
8.217.91.121,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,39,3.75
8.210.174.156,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,28,3.75
8.218.2.181,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,40,3.72
47.76.227.40,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,44,3.67
8.218.211.17,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,40,3.65
47.238.6.102,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,10,3.64
8.210.175.109,80,80,FALSE,HKG,Asia Pacific,Hong Kong,15,3.63
58.82.242.199,21154,80,FALSE,HKG,Asia Pacific,Hong Kong,67,3.63
8.217.232.246,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,11,3.58
47.242.171.94,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,10,3.57
47.76.29.115,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,16,3.46
47.243.26.83,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,14,3.46
8.218.122.55,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,10,3.45
47.242.79.71,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,11,3.44
47.238.5.0,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,14,3.41
58.82.242.199,12170,443,TRUE,HKG,Asia Pacific,Hong Kong,16,3.38
8.218.1.163,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,26,3.35
47.243.27.217,80,80,FALSE,HKG,Asia Pacific,Hong Kong,14,3.33
47.242.252.237,80,80,FALSE,HKG,Asia Pacific,Hong Kong,10,3.26
47.76.204.76,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,58,3.12
47.76.33.40,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,14,3.04
8.218.122.55,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,35,3.02
47.76.214.139,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,19,3.01
8.217.232.246,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,22,2.94
47.76.233.67,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,14,2.93
47.243.27.217,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,5,2.92
8.210.3.24,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,10,2.78
47.243.60.150,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,40,2.74
8.217.121.207,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,10,2.68
47.76.214.139,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,19,2.6
47.76.26.26,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,41,2.57
47.238.164.202,443,443,TRUE,HKG,Asia Pacific,Hong Kong,5,2.57
47.242.79.71,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,29,2.53
8.218.65.237,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,43,2.16
58.82.242.199,36600,443,TRUE,HKG,Asia Pacific,Hong Kong,27,2.11
8.218.53.110,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,25,2.09
156.251.176.48,21952,443,TRUE,HKG,Asia Pacific,Hong Kong,168,2.07
47.76.192.24,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,10,1.96
47.243.255.224,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,10,1.74
58.82.242.199,16762,443,TRUE,HKG,Asia Pacific,Hong Kong,16,1.66
8.218.3.12,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,3,1.52
47.243.27.217,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,27,1.45
8.218.65.237,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,60,1.35
8.210.244.38,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,84,1.32
8.218.3.12,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,22,1.3
47.243.27.217,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,16,1.09
47.76.204.76,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,19,1.09
47.76.94.15,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,9,1.02
47.76.94.15,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,24,1
8.218.65.237,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,9,0.99
38.6.195.111,443,443,TRUE,HKG,Asia Pacific,Hong Kong,21,0.9
47.239.10.224,443,443,TRUE,HKG,Asia Pacific,Hong Kong,26,0.87
39.115.137.14,443,443,TRUE,HKG,Asia Pacific,Hong Kong,61,0.78
203.9.150.104,443,443,TRUE,HKG,Asia Pacific,Hong Kong,28,0.69
47.243.86.79,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,19,0.69
47.242.125.241,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,21,0.6
47.76.77.103,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,7,0.58
47.76.77.103,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,37,0.55
47.243.86.79,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,27,0.55
47.243.90.180,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,21,0.47
8.218.3.12,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,28,0.47
154.88.31.91,30000,443,TRUE,HKG,Asia Pacific,Hong Kong,190,0.45
47.243.86.79,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,21,0.39
47.76.94.15,80,80,FALSE,HKG,Asia Pacific,Hong Kong,16,0.35
47.76.214.139,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,16,0.35
8.210.55.134,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,8,0.2
8.210.55.134,80,80,FALSE,HKG,Asia Pacific,Hong Kong,9,0.18
101.36.111.171,34237,2096,TRUE,HKG,Asia Pacific,Hong Kong,9,0.12
47.57.13.107,443,443,TRUE,HKG,Asia Pacific,Hong Kong,11,0.11
118.26.38.134,443,443,TRUE,HKG,Asia Pacific,Hong Kong,23,0.11
47.243.86.79,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,26,0.11
8.210.55.134,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,53,0.1
45.207.11.69,8899,443,TRUE,HKG,Asia Pacific,Hong Kong,7,0.1
39.126.44.106,37635,80,FALSE,HKG,Asia Pacific,Hong Kong,143,0.1
118.193.33.119,27942,443,TRUE,HKG,Asia Pacific,Hong Kong,21,0.08
8.218.3.12,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,27,0.08
202.81.231.150,80,80,FALSE,HKG,Asia Pacific,Hong Kong,263,0.02
47.243.86.79,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,37,0.01
47.243.90.180,80,80,FALSE,HKG,Asia Pacific,Hong Kong,10,0.01
103.103.245.205,20018,443,TRUE,HKG,Asia Pacific,Hong Kong,195,0
47.242.171.94,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,33,0
154.23.185.52,34237,2096,TRUE,HKG,Asia Pacific,Hong Kong,35,0
8.218.146.204,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,29,0
8.218.22.210,80,80,FALSE,HKG,Asia Pacific,Hong Kong,24,0
219.76.13.166,443,443,TRUE,HKG,Asia Pacific,Hong Kong,8,0
8.210.156.6,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,5,0
47.76.222.57,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,13,0
47.238.40.58,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,72,0
120.220.19.103,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,120,0
47.76.203.101,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,53,0
47.238.6.58,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,49,0
8.210.34.188,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,10,0
47.76.227.128,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,13,0
43.128.26.74,443,443,TRUE,HKG,Asia Pacific,Hong Kong,7,0
219.76.13.177,443,443,TRUE,HKG,Asia Pacific,Hong Kong,19,0
8.210.245.224,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,50,15.62
47.242.79.71,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,13,15.58
47.243.26.83,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,31,14.57
47.238.0.114,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,47,14.36
8.217.121.207,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,33,14.32
47.242.232.14,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,24,13.65
8.218.1.163,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,7,13.17
